filename,true,predicted,probabilities
/content/dataset grape disease/Leaf Blight/98b2e250-b92d-4b45-a7d6-9a5f54570f31___FAM_L.Blight 1525.JPG,3,3,"[0.00011600971629377455, 0.03732405602931976, 3.511559043545276e-06, 0.9625564217567444]"
/content/dataset grape disease/Healthy/580e79e8-9e89-41c8-930c-bd3eafb818b2___Mt.N.V_HL 6196_90deg.JPG,0,0,"[0.9999902248382568, 8.742550562601537e-06, 3.3197427029563187e-09, 1.0288013072567992e-06]"
/content/dataset grape disease/Leaf Blight/1ba7bd6f-531d-4c76-a297-ce93ce7b7d98___FAM_L.Blight 4637.JPG,3,3,"[4.8945739822281453e-11, 4.6994516161554326e-14, 5.6770817972832954e-14, 1.0]"
/content/dataset grape disease/ESCA/ed99773d-d7ad-4d6d-a114-5311a02d0fda___FAM_B.Msls 1875_flipLR.JPG,2,2,"[8.676338727336974e-14, 0.023127172142267227, 0.9768689274787903, 3.942533567169448e-06]"
/content/dataset grape disease/Black Rot/a04ef5e3-e968-442b-92f9-289052a7604d___FAM_B.Rot 0653.JPG,1,1,"[8.886737222160322e-16, 0.9994791150093079, 0.0005209424416534603, 4.193517000317115e-08]"
/content/dataset grape disease/ESCA/75dc7357-a936-4f3b-b099-eaec6ad03527___FAM_B.Msls 1761_flipLR.JPG,2,2,"[1.5988910499406539e-12, 0.00050546188140288, 0.9994945526123047, 6.954754994126233e-09]"
/content/dataset grape disease/ESCA/6a5b84d5-b309-4745-8655-ba6cd34f0d90___FAM_B.Msls 4077.JPG,2,2,"[2.29745457904553e-16, 2.073930582824346e-09, 1.0, 6.567903165777267e-11]"
/content/dataset grape disease/Healthy/25014ae7-b016-430a-b6a6-aa77dc3c4a8a___Mt.N.V_HL 8986.JPG,0,0,"[0.9995206594467163, 7.9834702773951e-05, 6.240089987841202e-06, 0.000393280090065673]"
/content/dataset grape disease/Healthy/781d2be9-b340-47ee-a21d-05f34b319e5f___Mt.N.V_HL 6021_270deg.JPG,0,0,"[1.0, 5.2815168904984944e-11, 8.527008173988757e-14, 1.1279991697643599e-11]"
/content/dataset grape disease/Black Rot/9a65f651-1b87-4580-b00e-41fe31f950f4___FAM_B.Rot 5055_flipLR.JPG,1,1,"[1.9224371428094855e-08, 0.999974250793457, 2.2399681256501935e-05, 3.328279035486048e-06]"
/content/dataset grape disease/Healthy/e17f9151-51a0-417d-a7c6-9ad9a2cce0d9___Mt.N.V_HL 9053_new30degFlipLR.JPG,0,0,"[1.0, 4.3758817904032666e-16, 3.397892784943123e-16, 2.0361000212243408e-12]"
/content/dataset grape disease/Leaf Blight/496717b3-b411-4bb8-a5ae-94f881c0f210___FAM_L.Blight 1669.JPG,3,3,"[1.3945211652099943e-09, 4.468344805275137e-09, 1.3294793044238418e-09, 1.0]"
/content/dataset grape disease/Healthy/e96d6ab6-6d0b-4e3e-bce0-b37903b4614c___Mt.N.V_HL 6174_180deg.JPG,0,0,"[0.999994158744812, 5.384712494560517e-06, 2.2534985077982128e-07, 2.5419029725526343e-07]"
/content/dataset grape disease/Black Rot/1be11ac2-41f6-43a9-9fc3-a673ae539757___FAM_B.Rot 0656_flipLR.JPG,1,1,"[7.111230007628144e-12, 0.9851012229919434, 0.014898513443768024, 2.3360119882909203e-07]"
/content/dataset grape disease/ESCA/18ad494f-55ff-41c9-a075-7b9838d9a6cf___FAM_B.Msls 0975_flipLR.JPG,2,2,"[4.634071091132652e-15, 1.204513040420352e-07, 0.9999998807907104, 2.366340847229087e-12]"
/content/dataset grape disease/Leaf Blight/cfe478f6-9bc2-4c85-9405-dc94c520a1ad___FAM_L.Blight 4713_flipLR.JPG,3,3,"[2.408220733940425e-09, 1.971909568965202e-06, 1.3305598844937094e-09, 0.9999979734420776]"
/content/dataset grape disease/Healthy/cd71e97d-cc73-4fdd-b625-c735844c3ce7___Mt.N.V_HL 6185_90deg.JPG,0,0,"[0.9999996423721313, 2.8757028758263914e-07, 1.0308098818967437e-09, 3.0890046076592625e-08]"
/content/dataset grape disease/ESCA/b5ab4545-ec88-40d1-9616-483d50bb2f3d___FAM_B.Msls 0841_flipLR.JPG,2,2,"[1.033129396826073e-23, 2.5063362496524633e-10, 1.0, 7.267641287370913e-17]"
/content/dataset grape disease/Black Rot/43fbcf64-eb79-4406-a832-a7567775a94c___FAM_B.Rot 0407.JPG,1,1,"[3.8094622400140776e-14, 0.9999955892562866, 4.382499810162699e-06, 2.435961210522919e-09]"
/content/dataset grape disease/Leaf Blight/3f9aa21a-038f-4ea3-b35e-f8f69ff63562___FAM_L.Blight 4875_flipLR.JPG,3,3,"[9.978035286906106e-09, 7.035046110104304e-06, 1.7938878826839755e-08, 0.9999929666519165]"
/content/dataset grape disease/Leaf Blight/f747c1ee-b157-4e64-a5e4-8f3ea2c7c6b5___FAM_L.Blight 4691_flipLR.JPG,3,3,"[4.333784886512149e-09, 2.9767013298709344e-09, 9.127744567127838e-12, 1.0]"
/content/dataset grape disease/Black Rot/a935ac99-f72a-4111-bb0c-74ced5e33402___FAM_B.Rot 0381.JPG,1,1,"[5.937894083764619e-14, 0.9983201622962952, 0.0016797898570075631, 8.239144477784066e-09]"
/content/dataset grape disease/Leaf Blight/3abb05dc-ae2e-469d-a8fb-7aa87d3c84c7___FAM_L.Blight 1454_flipLR.JPG,3,3,"[7.168900538090384e-06, 0.02434956096112728, 1.5863629414525349e-06, 0.975641667842865]"
/content/dataset grape disease/Black Rot/29603fff-11e8-4e0a-ae1f-4a65612b25fd___FAM_B.Rot 3233_flipLR.JPG,1,1,"[1.959565322506851e-12, 0.9998505115509033, 0.00014936052320990711, 1.0063617139621783e-07]"
/content/dataset grape disease/ESCA/419a7e1b-a8f5-4ef1-8ff3-4d680dcea8df___FAM_B.Msls 4301.JPG,2,2,"[1.2668711803079987e-14, 4.91705650347285e-05, 0.999950647354126, 2.1943907313470845e-07]"
/content/dataset grape disease/Healthy/2211cfa2-311c-41f0-aba5-9bdef8037f20___Mt.N.V_HL 6051_90deg.JPG,0,0,"[0.9999998807907104, 1.3619651895169227e-07, 2.6938443142832114e-10, 2.581487557051787e-08]"
/content/dataset grape disease/ESCA/cc0cffcf-3a33-4ba5-a4b8-6b5a4dfc4689___FAM_B.Msls 4380_flipLR.JPG,2,2,"[2.8040809691570745e-12, 8.2132032730442e-08, 0.9999998807907104, 1.1625947426985306e-10]"
/content/dataset grape disease/Black Rot/cf1f331a-313d-4fa5-9397-ea99a0cd2a59___FAM_B.Rot 3139.JPG,1,1,"[2.736347846019625e-19, 1.0, 3.583278673779944e-10, 5.839383230427098e-12]"
/content/dataset grape disease/Leaf Blight/54396503-ef60-4a0b-b38c-9b041a2f9d53___FAM_L.Blight 1496.JPG,3,3,"[8.373776836378966e-07, 0.0008467238512821496, 9.497107384959236e-07, 0.9991514682769775]"
/content/dataset grape disease/Healthy/e4dc54f7-46a2-47d4-889c-477883df2767___Mt.N.V_HL 9079_90deg.JPG,0,0,"[0.9999231100082397, 4.4784748752135783e-05, 1.996763330680551e-06, 3.001609002240002e-05]"
/content/dataset grape disease/Healthy/abf00723-a8e1-41e9-9fa6-0c73be7d0854___Mt.N.V_HL 6208_270deg.JPG,0,0,"[0.9999998807907104, 1.528403998918293e-07, 4.743053727551683e-10, 3.6201079911535317e-09]"
/content/dataset grape disease/Black Rot/98f4ba39-5593-47ae-ad38-9d0dfb8da853___FAM_B.Rot 3430.JPG,1,1,"[1.859159368677865e-07, 0.9999974966049194, 1.504249212302966e-06, 8.43363977764966e-07]"
/content/dataset grape disease/Black Rot/898d52e1-2b6c-476e-a84e-98556999638a___FAM_B.Rot 3204_flipLR.JPG,1,1,"[0.00013905124797020108, 0.9963272213935852, 0.003477331018075347, 5.638022048515268e-05]"
/content/dataset grape disease/Healthy/945a58bf-8495-4319-92c3-72dbf42116c8___Mt.N.V_HL 6082_270deg.JPG,0,0,"[1.0, 3.1317239912453942e-09, 5.7363353650474735e-11, 1.7423912312963807e-10]"
/content/dataset grape disease/ESCA/2ce9e0cd-d0d9-4def-a65d-a65cbfacc99c___FAM_B.Msls 4044.JPG,2,2,"[1.7449716233808797e-18, 3.025248662691382e-10, 1.0, 4.216331128095892e-14]"
/content/dataset grape disease/Healthy/c431d237-0d9a-42ea-b51c-953341859808___Mt.N.V_HL 9109_new30degFlipLR.JPG,0,0,"[1.0, 2.7392267937958494e-14, 2.755987712349528e-13, 1.4478830634434559e-10]"
/content/dataset grape disease/Leaf Blight/626ad08f-81e7-4ae4-8e4a-7b71f16adee9___FAM_L.Blight 4543.JPG,3,3,"[1.8020827885489865e-12, 4.316990498409723e-08, 7.183616368422463e-09, 1.0]"
/content/dataset grape disease/Leaf Blight/a08e6727-aac8-4e31-9bc1-c687207106dd___FAM_L.Blight 3655_flipLR.JPG,3,3,"[3.3632810078620956e-12, 5.471266668888308e-12, 8.830517697275275e-14, 1.0]"
/content/dataset grape disease/ESCA/6a0f93bd-0f4b-4cb4-8d39-19bd30fad243___FAM_B.Msls 4240.JPG,2,2,"[2.9136745554188306e-17, 1.0902399816270503e-10, 1.0, 2.871761422412744e-12]"
/content/dataset grape disease/ESCA/eb6f0cb7-781d-4b62-865f-ed7251ccbdf7___FAM_B.Msls 4009_flipLR.JPG,2,2,"[7.514771024669501e-24, 1.19085405003716e-06, 0.9999988079071045, 4.2786696719314626e-16]"
/content/dataset grape disease/ESCA/20ab9746-0822-4b1b-9785-759d35ffff95___FAM_B.Msls 1829_flipLR.JPG,2,2,"[2.6290857135791157e-07, 0.006988052744418383, 0.992988646030426, 2.3094711650628597e-05]"
/content/dataset grape disease/ESCA/b538f749-4eb9-4b3b-a55e-f5b293ac2d2a___FAM_B.Msls 1248.JPG,2,2,"[1.3018125828859215e-19, 3.748356292021526e-08, 1.0, 4.7888505227272615e-14]"
/content/dataset grape disease/Black Rot/9bdf0f8d-0a5a-4283-bf78-17d7462349f8___FAM_B.Rot 0645.JPG,1,1,"[3.538918810774838e-11, 0.9552942514419556, 0.04470564424991608, 1.1947572886583657e-07]"
/content/dataset grape disease/Black Rot/50911cb0-4fc0-4403-b42d-d21b60b76ed6___FAM_B.Rot 0422.JPG,1,1,"[1.5485055016029037e-08, 0.9999431371688843, 1.6722346174447011e-07, 5.66235939913895e-05]"
/content/dataset grape disease/Leaf Blight/64834018-2894-4c6b-9b25-5b1be3b7d196___FAM_L.Blight 3716.JPG,3,3,"[8.628621428474759e-11, 2.5650809601374114e-11, 1.1295514870668377e-11, 1.0]"
/content/dataset grape disease/ESCA/0075b632-2e34-4e4f-9697-fe2b332b7ef8___FAM_B.Msls 4399_flipLR.JPG,2,2,"[2.2304212019318078e-27, 7.76813238300561e-15, 1.0, 1.9937726210267738e-16]"
/content/dataset grape disease/Leaf Blight/c173c3eb-ad1b-4e04-965d-4139336683cb___FAM_L.Blight 1577.JPG,3,3,"[7.72518091163299e-11, 2.47043999840324e-11, 1.714542917363726e-11, 1.0]"
/content/dataset grape disease/Black Rot/5763c488-da90-4681-9d43-7ba79174fd44___FAM_B.Rot 0570.JPG,1,1,"[3.941872869783758e-12, 0.9999998807907104, 7.19294206419363e-08, 6.471129410101639e-09]"
/content/dataset grape disease/Black Rot/b1838f67-2a2d-456a-abba-806efc3ed25f___FAM_B.Rot 0699_flipLR.JPG,1,1,"[1.5103036867219597e-24, 1.0, 1.9909913717697236e-08, 3.9033871621074745e-12]"
/content/dataset grape disease/Leaf Blight/12ac35fb-6b5b-4b37-9031-bbca2928ffce___FAM_L.Blight 5000.JPG,3,3,"[1.8313784266865696e-07, 1.0674843906599563e-06, 1.2476969004637795e-06, 0.9999974966049194]"
/content/dataset grape disease/Leaf Blight/756bd990-15bf-447e-9e3d-3d597509a79d___FAM_L.Blight 4605_flipLR.JPG,3,3,"[4.781343250215286e-07, 3.887875550390163e-07, 1.0370811764914833e-08, 0.9999991655349731]"
/content/dataset grape disease/Black Rot/1f65cd54-490a-49a4-909c-a648ea5bc8ed___FAM_B.Rot 0498_flipLR.JPG,1,1,"[1.630901930569654e-20, 0.996260941028595, 0.0037390831857919693, 2.4159130251888428e-09]"
/content/dataset grape disease/ESCA/b4783ca9-6f90-4616-8b2f-61b2afb68fc0___FAM_B.Msls 1851.JPG,2,2,"[2.009552801940373e-10, 0.026537494733929634, 0.9734604954719543, 2.007498096645577e-06]"
/content/dataset grape disease/ESCA/dd342e05-90cd-4bb6-af98-909b22929d4c___FAM_B.Msls 1245_flipLR.JPG,2,1,"[3.8191461982934466e-14, 0.7533893585205078, 0.2466105818748474, 3.809029536228081e-09]"
/content/dataset grape disease/ESCA/5eb7e1eb-97cc-45fc-97b0-bfefdc8ef353___FAM_B.Msls 1230.JPG,2,2,"[9.103933980348653e-36, 8.686272887826927e-21, 1.0, 1.7898726388734391e-25]"
/content/dataset grape disease/ESCA/ea4041b5-ba1e-4bba-9120-f880f1534cb6___FAM_B.Msls 4008.JPG,2,2,"[6.33945536613413e-23, 9.115241255130968e-07, 0.9999990463256836, 4.659414740430974e-15]"
/content/dataset grape disease/Black Rot/0f436459-1783-4ccd-87ec-0e5aff478fbc___FAM_B.Rot 3062.JPG,1,1,"[2.727150594239447e-08, 0.999994158744812, 5.506695742951706e-06, 3.3081917649724346e-07]"
/content/dataset grape disease/ESCA/23cb070c-93bf-4103-8597-26dcb91d2262___FAM_B.Msls 4238_flipLR.JPG,2,2,"[4.281561298533541e-25, 3.937498114017779e-13, 1.0, 2.249742307073055e-19]"
/content/dataset grape disease/Leaf Blight/63ea4ac8-0f7a-4daf-9fbb-3084b626cf21___FAM_L.Blight 4821.JPG,3,3,"[1.4250897351075764e-08, 5.279286142467754e-06, 9.161883696151563e-08, 0.9999946355819702]"
/content/dataset grape disease/Black Rot/7c70c9f7-6dfe-41b1-a720-bd29c4416427___FAM_B.Rot 0544_flipLR.JPG,1,1,"[4.54616149170306e-08, 0.9814229011535645, 3.35415606400602e-08, 0.018577009439468384]"
/content/dataset grape disease/ESCA/c169a267-2dba-462a-b7cb-2b331fc43a7b___FAM_B.Msls 1005_flipLR.JPG,2,2,"[2.3447927203547164e-41, 2.101321322074408e-20, 1.0, 1.16430409599229e-28]"
/content/dataset grape disease/Black Rot/30f1fd47-5562-44a1-8e3d-9339c3c12064___FAM_B.Rot 3022.JPG,1,1,"[0.0009661171352490783, 0.9990315437316895, 2.0086997665202944e-06, 2.999653361257515e-07]"
/content/dataset grape disease/Leaf Blight/f1ae3b07-24a3-4e55-8947-494588047851___FAM_L.Blight 4692_flipLR.JPG,3,3,"[8.33271656119905e-08, 1.6747502513680956e-06, 5.0448041577499936e-11, 0.9999982118606567]"
/content/dataset grape disease/Black Rot/accafd2a-8339-48b3-aa3e-715f47494970___FAM_B.Rot 3305_flipLR.JPG,1,1,"[1.1107974353861256e-17, 0.9999995231628418, 4.25318404495556e-07, 5.6867899278501e-10]"
/content/dataset grape disease/Healthy/1c13c447-4d2d-4eac-9835-705d952b09d6___Mt.N.V_HL 9128_180deg.JPG,0,0,"[1.0, 2.3351352851364027e-08, 1.4456845720545175e-09, 8.34155233775391e-09]"
/content/dataset grape disease/Healthy/4b472308-dde6-41b2-943e-707eb5b4b050___Mt.N.V_HL 8942_90deg.JPG,0,0,"[0.9999996423721313, 2.040756612586847e-07, 2.1436852293277298e-09, 1.0787919535459878e-07]"
/content/dataset grape disease/Healthy/b7b4fb14-c350-4c88-8a2c-2e35c239af6a___Mt.N.V_HL 9051_90deg.JPG,0,0,"[1.0, 2.7392130785841573e-09, 2.681369666232558e-12, 4.862756898538212e-12]"
/content/dataset grape disease/Leaf Blight/2647944b-ed9e-4480-aa7f-c50eff845679___FAM_L.Blight 4741_flipLR.JPG,3,3,"[3.5487063287931164e-10, 9.191560401689003e-09, 5.621802329214276e-11, 1.0]"
/content/dataset grape disease/Black Rot/bc29bf91-3597-48d1-8ec3-8fe9112185ca___FAM_B.Rot 0760_flipLR.JPG,1,1,"[1.8748365360199415e-10, 0.9999979734420776, 9.635566584620392e-07, 1.1203064786968753e-06]"
/content/dataset grape disease/Healthy/515937e8-f329-406e-8d77-c9ddba3e399b___Mt.N.V_HL 9098_270deg.JPG,0,0,"[1.0, 6.4410495166644655e-12, 1.1483457414140918e-12, 2.0979322445935367e-10]"
/content/dataset grape disease/Black Rot/25724a0e-ed32-47d0-b5bc-70d4c5d0ac9a___FAM_B.Rot 0593.JPG,1,1,"[3.530662453185601e-18, 0.9999971389770508, 2.810797013808042e-06, 1.7672586213445668e-13]"
/content/dataset grape disease/ESCA/35f27251-e796-4906-80a3-1836f8bce8a3___FAM_B.Msls 0916_flipLR.JPG,2,2,"[2.4504110475068825e-15, 0.00015619222540408373, 0.9998438358306885, 9.412523538365747e-11]"
/content/dataset grape disease/Leaf Blight/b69b9816-f69b-4d8e-8c56-4668b2581017___FAM_L.Blight 4929.JPG,3,3,"[4.3422343765087135e-07, 1.3213099236963899e-06, 8.928195143198536e-07, 0.9999973773956299]"
/content/dataset grape disease/Black Rot/eefd6021-3784-40a2-b0e4-43cc3c2dccc9___FAM_B.Rot 5025_flipLR.JPG,1,1,"[1.4080413224260013e-10, 0.9723528623580933, 1.90667669812683e-05, 0.027628125622868538]"
/content/dataset grape disease/Leaf Blight/be21ce1d-836b-4977-ad51-bb20114ccd50___FAM_L.Blight 1510_flipLR.JPG,3,3,"[6.867048796266317e-08, 1.3861003367310332e-07, 2.004161281377037e-09, 0.9999997615814209]"
/content/dataset grape disease/Healthy/86f98f21-f6aa-439b-a8b3-dd80beaf147c___Mt.N.V_HL 9118_180deg.JPG,0,0,"[1.0, 2.2914627972880908e-09, 7.753623264272758e-12, 1.0261639628306174e-11]"
/content/dataset grape disease/Black Rot/9911cd1e-2dc0-4395-9775-6572c99bf253___FAM_B.Rot 0680_flipLR.JPG,1,1,"[1.2843492750406727e-17, 0.9939619898796082, 0.006037982180714607, 2.4932113262821076e-08]"
/content/dataset grape disease/Black Rot/1043d0a4-26ff-40aa-abbf-eeca2dba898d___FAM_B.Rot 5018.JPG,1,1,"[3.800456482849768e-08, 0.9999945163726807, 4.79229765915079e-06, 5.806690523968427e-07]"
/content/dataset grape disease/Healthy/2dacf3f7-797b-4d4c-bf77-1d1a8f6d965d___Mt.N.V_HL 9117_180deg.JPG,0,0,"[0.9999897480010986, 8.180203622032423e-06, 2.0842765025008703e-06, 9.970836600814437e-08]"
/content/dataset grape disease/ESCA/d91774fe-94c4-4f98-a4ad-106794907f27___FAM_B.Msls 4393_flipLR.JPG,2,2,"[7.863737249842554e-18, 8.201048173894776e-10, 1.0, 2.437794757725875e-12]"
/content/dataset grape disease/Black Rot/141056ca-ab0e-48b7-9495-7b193ccfccb7___FAM_B.Rot 3585_flipLR.JPG,1,1,"[5.443651427891565e-23, 1.0, 3.4826463934933827e-09, 7.811026825343959e-11]"
/content/dataset grape disease/ESCA/f83f01b3-32e6-4723-a440-bebfe2b56637___FAM_B.Msls 4038.JPG,2,2,"[7.4082164844753915e-31, 3.4598648917378e-16, 1.0, 7.296631269164148e-20]"
/content/dataset grape disease/Leaf Blight/be4475e2-a944-42de-97f2-5e88d7b3de56___FAM_L.Blight 1528.JPG,3,3,"[5.816949624204426e-07, 0.06820949912071228, 1.0099416840603226e-06, 0.9317889213562012]"
/content/dataset grape disease/Leaf Blight/ed5c8c75-0e44-4f65-b25c-05fb69b16655___FAM_L.Blight 1592_flipLR.JPG,3,3,"[2.003287313812052e-08, 0.0016904746880754828, 8.102773563223309e-08, 0.9983093738555908]"
/content/dataset grape disease/Black Rot/51c9650f-6098-45ac-a58a-57d376557db5___FAM_B.Rot 0542_flipLR.JPG,1,1,"[5.667712393159219e-13, 0.999997615814209, 2.3020556909614243e-06, 7.446762140261853e-08]"
/content/dataset grape disease/Healthy/c24fe968-c13f-46ca-add1-c03828f54cd3___Mt.N.V_HL 9103_270deg.JPG,0,0,"[0.9999912977218628, 5.6998889164106004e-08, 1.9686684282760325e-08, 8.637039172754157e-06]"
/content/dataset grape disease/Black Rot/314a8a7e-9409-4e3c-9be4-e00156db4d19___FAM_B.Rot 3542.JPG,1,1,"[5.291648452754316e-09, 0.9999547004699707, 1.0264479897159617e-06, 4.422168785822578e-05]"
/content/dataset grape disease/Healthy/5385fa4e-cf2a-431e-8f30-459d7e05bd7a___Mt.N.V_HL 9005_180deg.JPG,0,0,"[0.9998656511306763, 1.204627551487647e-06, 5.421863402688132e-09, 0.0001331050880253315]"
/content/dataset grape disease/Leaf Blight/d7ff358a-bc45-4b81-a632-68d8e87ab529___FAM_L.Blight 3676.JPG,3,3,"[7.896703581831976e-13, 2.95217714477939e-14, 6.251213603833058e-14, 1.0]"
/content/dataset grape disease/ESCA/d0a76afe-5785-45f1-a789-c1de64d343c1___FAM_B.Msls 3832.JPG,2,2,"[3.337574039418486e-26, 1.0216910867680284e-12, 1.0, 9.112947065281362e-18]"
/content/dataset grape disease/ESCA/01162551-b800-4df8-ac46-64d17d6ac5bf___FAM_B.Msls 1153_flipLR.JPG,2,2,"[4.772288955035112e-34, 3.622986149304176e-18, 1.0, 2.1563761493173683e-22]"
/content/dataset grape disease/Black Rot/f4dde5d3-619c-465e-9e9a-0cf0bf763580___FAM_B.Rot 5036.JPG,1,1,"[2.9684139590813174e-08, 0.9996492862701416, 0.00026607149629853666, 8.456415525870398e-05]"
/content/dataset grape disease/Healthy/369f23fe-c093-4655-a9f2-0aae0918eb26___Mt.N.V_HL 6102_180deg.JPG,0,0,"[1.0, 1.485183677429891e-11, 7.698483404851731e-15, 3.0654913828719044e-13]"
/content/dataset grape disease/ESCA/7ad1bf89-7506-4a32-bf98-add875e8b1f8___FAM_B.Msls 1227.JPG,2,2,"[3.1438187099065844e-39, 1.854345062887821e-21, 1.0, 1.1161570029405758e-27]"
/content/dataset grape disease/ESCA/45aa086c-c779-4c24-ae5c-648ded1572ee___FAM_B.Msls 4132_flipLR.JPG,2,2,"[6.332946385776203e-17, 1.3108216307955445e-06, 0.9999986886978149, 3.0526747796244535e-09]"
/content/dataset grape disease/Black Rot/994db94a-4a38-45c0-a36b-98daa4fa18d2___FAM_B.Rot 3383.JPG,1,1,"[4.317019488553342e-07, 0.9999852180480957, 1.4192492017173208e-05, 7.293757420256952e-08]"
/content/dataset grape disease/Black Rot/7afbee91-43f6-444f-a26d-9bcd9219b72b___FAM_B.Rot 3563_flipLR.JPG,1,1,"[1.79090076102284e-08, 0.9969007968902588, 0.0005583827733062208, 0.0025407406501471996]"
/content/dataset grape disease/Healthy/99edf5b5-3b65-47bc-8eb9-c9ff2582a28d___Mt.N.V_HL 8972.JPG,0,0,"[0.9999964237213135, 1.006860316010716e-06, 2.143556798728241e-08, 2.605358304208494e-06]"
/content/dataset grape disease/ESCA/95ca0aa1-4fc4-4fbd-a8ad-c45015034704___FAM_B.Msls 4314_flipLR.JPG,2,2,"[7.770962223302255e-19, 8.598940786849751e-13, 1.0, 5.783117582904007e-13]"
/content/dataset grape disease/Black Rot/8cdebb86-1c5e-41db-a74d-9f01b770d83e___FAM_B.Rot 3531_flipLR.JPG,1,1,"[2.3172518126557407e-08, 0.9999738931655884, 4.386473392514745e-06, 2.1640205886797048e-05]"
/content/dataset grape disease/Leaf Blight/ec8db249-dfac-47af-9e44-252856493031___FAM_L.Blight 1516.JPG,3,3,"[3.4626575029506057e-07, 0.0012926372000947595, 1.5435374223216058e-07, 0.9987069368362427]"
/content/dataset grape disease/Black Rot/84d48be8-eb1e-4c4f-96bc-527cbacb6334___FAM_B.Rot 3360_flipLR.JPG,1,1,"[1.157113072025595e-09, 0.9999977350234985, 1.369772121506685e-06, 7.93161632373085e-07]"
/content/dataset grape disease/Leaf Blight/c5fd9bf9-9d55-4c91-a83f-2115d4771c90___FAM_L.Blight 4527.JPG,3,3,"[6.17998008323184e-09, 3.816951199553387e-09, 9.99715599192541e-09, 1.0]"
/content/dataset grape disease/Healthy/58cb61f9-6fd7-4275-b844-dd1657051107___Mt.N.V_HL 9016_180deg.JPG,0,0,"[0.9999997615814209, 6.323531920315872e-08, 7.5976147595469e-10, 1.743197941550534e-07]"
/content/dataset grape disease/Leaf Blight/e687a2ba-111d-4126-aa95-f2a2c0cca8db___FAM_L.Blight 3671.JPG,3,3,"[4.869881164992762e-10, 5.061031771447233e-08, 3.502626455542668e-08, 1.0]"
/content/dataset grape disease/ESCA/a9209726-7d66-40ca-9caf-c5244848aeaf___FAM_B.Msls 4245_flipLR.JPG,2,2,"[2.453047942369408e-30, 1.465268742928058e-14, 1.0, 2.824446329418673e-20]"
/content/dataset grape disease/Leaf Blight/9514b3b1-da30-41b1-9058-c56279349f84___FAM_L.Blight 4900.JPG,3,3,"[5.105716294195872e-09, 9.399137024246329e-11, 1.2927439563270582e-08, 1.0]"
/content/dataset grape disease/Black Rot/81703349-d241-4763-9789-9b5a12786e65___FAM_B.Rot 3377_flipLR.JPG,1,1,"[2.118681816901287e-14, 0.9999963045120239, 3.740850388567196e-06, 4.368821276967694e-11]"
/content/dataset grape disease/Black Rot/f74ad82c-72e2-49bc-8a67-2e6c8d87e428___FAM_B.Rot 3557_flipLR.JPG,1,1,"[2.9629202202841043e-08, 0.9999939203262329, 5.531606348085916e-06, 4.217325795252691e-07]"
/content/dataset grape disease/Leaf Blight/380946a0-d5e4-41d5-be2a-ce4850b45506___FAM_L.Blight 4625.JPG,3,3,"[4.44486773776287e-11, 6.952834041840106e-07, 1.228368101680033e-10, 0.9999992847442627]"
/content/dataset grape disease/ESCA/ed99773d-d7ad-4d6d-a114-5311a02d0fda___FAM_B.Msls 1875.JPG,2,2,"[2.683585992313553e-12, 0.019576923921704292, 0.980422854423523, 2.2932890431093256e-07]"
/content/dataset grape disease/Healthy/2691980c-7324-49e2-85b3-dbfa0a283f2a___Mt.N.V_HL 9019_180deg.JPG,0,0,"[0.9999991655349731, 5.299049803397793e-07, 7.476347718693432e-08, 1.602180361715e-07]"
/content/dataset grape disease/Black Rot/36160eed-7b0e-461c-b3a4-174e37e414cb___FAM_B.Rot 0749_flipLR.JPG,1,1,"[2.8129837387037046e-20, 0.9999998807907104, 1.474553812386148e-07, 1.083350531679017e-12]"
/content/dataset grape disease/Healthy/fa8cd79e-82e1-4dda-9a82-6ce207f2b557___Mt.N.V_HL 9097_270deg.JPG,0,0,"[1.0, 3.361629585807435e-10, 7.475011928881337e-12, 3.1303638792223865e-08]"
/content/dataset grape disease/ESCA/505ae403-07e0-4b6b-88cc-5d14ee5ad445___FAM_B.Msls 4195.JPG,2,2,"[5.439186080737561e-24, 4.273620032076847e-15, 1.0, 1.5152330989042211e-15]"
/content/dataset grape disease/Black Rot/6dfbc2f4-6242-47a8-83c4-6197adb8463f___FAM_B.Rot 5044.JPG,1,1,"[4.169064879988582e-07, 0.9994785189628601, 4.3425279727671295e-05, 0.00047768675722181797]"
/content/dataset grape disease/Black Rot/9a03ec52-8f54-4a8b-9a4b-e6ca129f11c1___FAM_B.Rot 0700_flipLR.JPG,1,1,"[9.186007137014713e-27, 0.9999903440475464, 9.673920430941507e-06, 2.406671833121623e-14]"
/content/dataset grape disease/Leaf Blight/a1469efa-21bd-4e90-9555-4740382de7ee___FAM_L.Blight 4810_flipLR.JPG,3,3,"[1.5343567527636992e-09, 1.3884071670133835e-08, 1.2229739443370136e-09, 1.0]"
/content/dataset grape disease/Healthy/cd71e97d-cc73-4fdd-b625-c735844c3ce7___Mt.N.V_HL 6185.JPG,0,0,"[0.9999897480010986, 1.0159991688851733e-05, 4.048237300935398e-09, 3.3405001431674464e-08]"
/content/dataset grape disease/ESCA/3387b634-3a99-46f9-ab8c-a9ca7095e159___FAM_B.Msls 3804_flipLR.JPG,2,2,"[9.810273556553365e-18, 3.8439273453150236e-07, 0.9999996423721313, 2.180150504571543e-11]"
